company_id,company_name,industry,description,source,website,place_id
235,Cafe Argento,"cafe, restaurant, point_of_interest, food, establishment","1125 E Olive St, Seattle, WA 98122, USA",google_places,,
195,Tom's Watch Bar - Climate Pledge Arena,"bar, restaurant, point_of_interest, food, establishment","105 Lenny Wilkens Wy, Seattle, WA 98109, USA",google_places,https://tomswatchbar.com/seattle-climate-pledge/,ChIJDUFW42gVkFQRhFMAt3OqL_0
196,BZ's Sports Bar & Grill,"bar, restaurant, point_of_interest, food, establishment","17730 Ambaum Blvd S, Burien, WA 98148, USA",google_places,http://www.bzssportsbar.com/,ChIJLeAuLLJEkFQRgQTr14IaoAM
200,One million cafe,"cafe, restaurant, point_of_interest, bakery, food, store, establishment","323 N 105th St Suite b, Seattle, WA 98133, USA",google_places,https://onemillioncafeseattle.com/,ChIJ2yj3OAEXkFQR_RQlBJ0VyIU
201,TeKu Tavern + Café,"bar, liquor_store, cafe, restaurant, point_of_interest, food, store, establishment","552 Denny Wy, Seattle, WA 98109, USA",google_places,http://www.tekutavern.beer/,ChIJP_CQzkgVkFQRZev2ypChEyQ
202,Hye Life Cafe & Bar,"cafe, bar, restaurant, point_of_interest, food, establishment","900 160th Ave NE Suite 1, Bellevue, WA 98008, USA",google_places,https://hyelifecafebar.com/,ChIJ4VMlse9tkFQR5YmWV4SOvnY
204,LUMI Dessert Cafe,"cafe, restaurant, point_of_interest, food, store, establishment","4713 168th St SW #101, Lynnwood, WA 98037, USA",google_places,http://lumidessertcafe.com/,ChIJa0bAmNgFkFQRNR1JXndm3fc
205,Pochi Bubble Tea Cafe (Lynnwood),"cafe, restaurant, point_of_interest, food, establishment","1211 164th St SW #102, Lynnwood, WA 98087, USA",google_places,http://www.pochibubbletea.com/,ChIJt1buJMgFkFQRTySdzTNbUNM
209,Bang Bang Cafe,"cafe, restaurant, point_of_interest, bakery, food, store, establishment","2460 Western Ave, Seattle, WA 98121, USA",google_places,https://www.bangbangcafeseattle.com/,ChIJ5Y74B04VkFQRvoWKWLoETmA
212,Purple Café and Wine Bar,"cafe, bar, restaurant, point_of_interest, food, establishment","1225 4th Ave, Seattle, WA 98101, USA",google_places,https://www.purplecafe.com/,ChIJC2j55LNqkFQRRqBoRA_a_3A
213,Coche Valley Dessert Cafe,"cafe, restaurant, point_of_interest, food, store, establishment","1424 E Pine St, Seattle, WA 98122, USA",google_places,http://www.cochevalleydessertcafe.com/,ChIJ9Yke7MJrkFQR7CJNNPFpfL4
